seed,protocol,fold_or_condition,partition,class,n,raw_mean,raw_sd,raw_q25,raw_median,raw_q75,latent_mean,latent_sd,latent_q25,latent_median,latent_q75
44,event_disjoint,S0,train,gangue,40,0.7313433950,0.0575312222,0.6952998685,0.7322992004,0.7742907156,0.7848664919,0.0382679224,0.7633963330,0.7880358850,0.8017703846
44,event_disjoint,S1,test,coal,10,0.2945465243,0.0362357175,0.2646703819,0.2850798062,0.3315587369,0.2868712092,0.0317295493,0.2660001238,0.2964093726,0.3133135433
44,event_disjoint,S1,test,empty,9,0.3950119818,0.0400368902,0.3670985774,0.3870525349,0.4374870052,0.3614732652,0.0222700780,0.3502182701,0.3645638349,0.3733329495
44,event_disjoint,S1,test,gangue,11,0.7334507281,0.0303845547,0.7127939975,0.7253563053,0.7632758650,0.8037142477,0.0334723609,0.7857738577,0.7997902983,0.8336087583
44,event_disjoint,S1,train,coal,34,0.3199272145,0.0423348743,0.2907455671,0.3126030857,0.3433602932,0.2919164177,0.0284046789,0.2718080159,0.2943622562,0.3069463576
44,event_disjoint,S1,train,empty,29,0.3803526125,0.0438614626,0.3503980192,0.3780218182,0.4076935716,0.3579919463,0.0430246684,0.3209955401,0.3497924812,0.3874424641
44,event_disjoint,S1,train,gangue,40,0.7449241550,0.0510306400,0.7150776498,0.7453090545,0.7720377834,0.7869602982,0.0433257994,0.7570632327,0.7822487442,0.8154558061
44,event_disjoint,S2,test,coal,10,0.3708796809,0.0310510099,0.3594952806,0.3637715831,0.3869076805,0.2773137686,0.0449933017,0.2483098335,0.2680815438,0.2932630006
44,event_disjoint,S2,test,empty,9,0.3623026514,0.0434186801,0.3512275134,0.3735645993,0.3814107902,0.3262326610,0.0396871417,0.3026908030,0.3272199625,0.3522898637
44,event_disjoint,S2,test,gangue,11,0.6996717527,0.0433164706,0.6708453246,0.6961711876,0.7161761704,0.7558617207,0.0299038000,0.7339234785,0.7432292703,0.7766235125
44,event_disjoint,S2,train,coal,34,0.3132148947,0.0384147916,0.2881519580,0.3160755732,0.3428725756,0.2770888925,0.0326873305,0.2506734187,0.2794963029,0.3006329539
44,event_disjoint,S2,train,empty,29,0.3417537783,0.0353405865,0.3109152040,0.3478373722,0.3690807701,0.3495090057,0.0410132061,0.3300494896,0.3566607120,0.3747505774
44,event_disjoint,S2,train,gangue,40,0.7435450918,0.0426306332,0.7192094875,0.7426180564,0.7697723303,0.7936147492,0.0351741493,0.7645862960,0.7998362698,0.8196499174
44,event_disjoint,S3,test,coal,10,0.3440409376,0.0346186648,0.3341160540,0.3528791211,0.3697005900,0.2904085648,0.0302065499,0.2665663308,0.3028107902,0.3106180787
44,event_disjoint,S3,test,empty,9,0.3203115255,0.0359374382,0.3096589028,0.3125763720,0.3288286847,0.3265067415,0.0474846328,0.3191742498,0.3281960838,0.3624272068
44,event_disjoint,S3,test,gangue,11,0.7524710809,0.0548295334,0.7069870435,0.7549740804,0.7930473391,0.7934456997,0.0278785147,0.7730284805,0.7907868399,0.8093097751
44,event_disjoint,S3,train,coal,34,0.3261742515,0.0390234245,0.3052021907,0.3280562496,0.3534740999,0.2838757579,0.0299205984,0.2678509162,0.2810432874,0.3030401747
44,event_disjoint,S3,train,empty,29,0.3757869118,0.0551510429,0.3372750462,0.3678906516,0.4175627411,0.3753815953,0.0485542601,0.3390145056,0.3755121763,0.4148419681
